"Experiment","Deployment","group","Site","N","P","CHLA"
81,2,5,1,0,0,0.447853648302193
82,2,5,1,0,0,0.759849885644724
83,2,5,1,0,0,3.28573371820647
84,2,5,1,0,0,1.99344877990298
85,2,5,1,0,0,1.7989053248981
86,2,5,1,1,0,0.745271317114558
87,2,5,1,1,0,0.76176291569065
88,2,5,1,1,0,1.7135688529428
89,2,5,1,1,0,3.34438863732778
90,2,5,1,1,0,4.13455362248003
91,2,5,1,0,1,7.32254412822547
92,2,5,1,0,1,2.90921897190918
93,2,5,1,0,1,2.5183619759485
94,2,5,1,0,1,5.29641648375971
95,2,5,1,0,1,2.21269850784809
96,2,5,1,1,1,63.8911947590239
97,2,5,1,1,1,85.5943235055425
98,2,5,1,1,1,37.9605485825479
99,2,5,1,1,1,83.2703799085158
100,2,5,1,1,1,24.6768460538208
101,2,6,2,0,0,14.1488607125071
102,2,6,2,0,0,15.5236987476253
103,2,6,2,0,0,4.88885693140528
104,2,6,2,0,0,1.2013707647048
105,2,6,2,0,0,0.55706063135179
106,2,6,2,1,0,1.94289671597469
107,2,6,2,1,0,2.49995734732648
108,2,6,2,1,0,1.76867091963775
109,2,6,2,1,0,1.40607304904366
110,2,6,2,1,0,1.30874541195566
111,2,6,2,0,1,1.30874541195566
112,2,6,2,0,1,0.427616683881439
113,2,6,2,0,1,0.867224532895586
114,2,6,2,0,1,7.64791140232769
115,2,6,2,0,1,1.00491427965398
116,2,6,2,1,1,52.997730186104
117,2,6,2,1,1,89.2241945561355
118,2,6,2,1,1,48.1549502462327
119,2,6,2,1,1,101.188095408267
120,2,6,2,1,1,67.738434785215
121,2,7,3,0,0,1.10224191674198
122,2,7,3,0,0,7.96237918918421
123,2,7,3,0,0,10.0366640075991
124,2,7,3,0,0,9.57490616411827
125,2,7,3,0,0,14.4170186472878
126,2,7,3,1,0,2.17791409982109
127,2,7,3,1,0,13.3394518785621
128,2,7,3,1,0,10.4075572468045
129,2,7,3,1,0,4.35184075105594
130,2,7,3,1,0,14.2749587306564
131,2,7,3,0,1,0.694750378110187
132,2,7,3,0,1,4.45542046313887
133,2,7,3,0,1,6.027715591973
134,2,7,3,0,1,8.49173056882527
135,2,7,3,0,1,5.25396151114964
136,2,7,3,1,1,133.842620280539
137,2,7,3,1,1,146.98233372374
138,2,7,3,1,1,137.748821863991
139,2,7,3,1,1,131.971557583415
140,2,7,3,1,1,148.532865037719
141,2,8,4,0,0,1.78882718981131
142,2,8,4,0,0,2.63775891325599
143,2,8,4,0,0,4.02542733367763
144,2,8,4,0,0,0.937982436320711
145,2,8,4,0,0,2.03197855377465
146,2,8,4,1,0,4.83962421841858
147,2,8,4,1,0,7.66087032203921
148,2,8,4,1,0,1.94480974602062
149,2,8,4,1,0,6.56415653761735
150,2,8,4,1,0,1.63090047863216
151,2,8,4,0,1,8.95025776048103
152,2,8,4,0,1,2.31557272165557
153,2,8,4,0,1,3.03872516922736
154,2,8,4,0,1,8.58393296844163
155,2,8,4,0,1,8.65288966099194
156,2,8,4,1,1,16.1249302571149
157,2,8,4,1,1,59.822816183116
158,2,8,4,1,1,28.083648809414
159,2,8,4,1,1,68.048404444178
160,2,8,4,1,1,62.2805669808363
161,3,9,1,0,0,3.57187494236125
162,3,9,1,0,0,1.09329119556597
163,3,9,1,0,0,2.48049677684121
164,3,9,1,0,0,1.63493807292915
165,3,9,1,0,0,1.57808436468266
166,3,9,1,1,0,7.3000056485973
167,3,9,1,1,0,4.329138000996
168,3,9,1,1,0,2.91086225261449
169,3,9,1,1,0,4.12359995481122
170,3,9,1,1,0,10.8252664062932
171,3,9,1,0,1,3.06857858236347
172,3,9,1,0,1,5.33032074810484
173,3,9,1,0,1,11.3672470120073
174,3,9,1,0,1,10.7018751037497
175,3,9,1,0,1,14.358060548352
176,3,9,1,1,1,29.4702330449859
177,3,9,1,1,1,30.3867364018666
178,3,9,1,1,1,44.4569622996477
179,3,9,1,1,1,34.4951260674696
180,3,9,1,1,1,13.9559812881569
181,3,10,2,0,0,0.761762915690651
182,3,10,2,0,0,0.58554339506059
183,3,10,2,0,0,1.48499605750964
184,3,10,2,0,0,3.53896321725658
185,3,10,2,0,0,2.6496693841415
186,3,10,2,1,0,1.67129371322648
187,3,10,2,1,0,1.09399611745394
188,3,10,2,1,0,0.587456425106516
189,3,10,2,1,0,2.69835798734714
190,3,10,2,1,0,0.313909267388457
191,3,10,2,0,1,2.06034949831234
192,3,10,2,0,1,0.879215698028294
193,3,10,2,0,1,2.76334567571057
194,3,10,2,0,1,5.53879433572496
195,3,10,2,0,1,0.948060571407492
196,3,10,2,1,1,15.9230516950403
197,3,10,2,1,1,19.3001134330561
198,3,10,2,1,1,16.8544719599019
199,3,10,2,1,1,53.1299972794511
200,3,10,2,1,1,46.086867357102
201,3,11,3,0,0,2.43488896471586
202,3,11,3,0,0,4.52375235166092
203,3,11,3,0,0,1.02515124407474
204,3,11,3,0,0,4.11445960215431
205,3,11,3,0,0,5.18630572514156
206,3,11,3,1,0,13.6659851845362
207,3,11,3,1,0,12.167053806924
208,3,11,3,1,0,14.6479759577254
209,3,11,3,1,0,15.8925071933158
210,3,11,3,1,0,12.8736339616725
211,3,11,3,0,1,1.99344877990298
212,3,11,3,0,1,4.65128326908534
213,3,11,3,0,1,3.38553693952082
214,3,11,3,0,1,3.30844626685357
215,3,11,3,0,1,5.4073877888854
216,3,11,3,1,1,37.2834177933121
217,3,11,3,1,1,33.9064719091798
218,3,11,3,1,1,63.5576491229688
219,3,11,3,1,1,131.148875122194
220,3,11,3,1,1,113.117300616043
221,3,12,4,0,0,11.9087716952247
222,3,12,4,0,0,12.5486125200583
223,3,12,4,0,0,16.2221944915801
224,3,12,4,0,0,22.4465089363115
225,3,12,4,0,0,15.8031273631887
226,3,12,4,1,0,47.0178167133925
227,3,12,4,1,0,49.9840012127193
228,3,12,4,1,0,28.0290280262648
229,3,12,4,1,0,30.5975904697789
230,3,12,4,1,0,31.3187780124315
231,3,12,4,0,1,54.0330938635483
232,3,12,4,0,1,60.9805480753269
233,3,12,4,0,1,57.7404377317078
234,3,12,4,1,1,22.8842740745523
235,3,12,4,1,1,67.420919637752
236,3,12,4,1,1,93.4711149178302
237,3,12,4,1,1,93.0370167567368
238,3,12,4,1,1,42.4991094813435
